X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.1540868690401,40.061700347145,11,226516302,,,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,(215) 424-5045,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0812831658849,40.0770883747249,12,226517052,,,ST CECILIA SCHOOL,ST CECILIA SCHOOL,535 RHAWN ST,19111,(215) 725-8588,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.1695646783188,39.9955553167013,13,226517252,,,ST MARTIN DE PORRES SCHOOL,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,(215) 223-6872,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.10201897353,39.9849626738383,14,226514552,,,OUR LADY OF PORT RICHMOND SCHOOL,OUR LADY OF PORT RICHMOND SCHOOL,2639 E ALLEGHENY AVE,19134,(215) 739-1920,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9737067535441,40.1022609914693,15,226516202,,,ST ANSELM ELEMENTARY SCHOOL,ST ANSELM ELEMENTARY SCHOOL,12656 DUNKS FERRY RD,19154,(215) 632-1133,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0100354694662,40.124454772126,16,226517152,,,ST CHRISTOPHER SCHOOL,ST CHRISTOPHER SCHOOL,13301 PROCTOR RD,19116,(215) 673-5787,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.98669574197,40.0851860288387,17,226510452,,,ARCHBISHOP RYAN HIGH SCHOOL,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,(215) 637-1800,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1743995489158,39.9193230251614,18,226519022,,,ST MONICA SENIOR SCHOOL,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,(215) 467-5338,O,ELEMENTARY/MIDDLE,6-8,,3,ARCHDIOCESE
-75.1775358229263,40.0051788834434,19,226514102,,,MERCY CAREER AND TECHNICAL HIGH SCHOOL,MERCY VOCATIONAL HIGH SCHOOL,2901 W ALLEGHENY AVE,19129,(215) 226-1225 ,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1531453412673,39.974149428885,20,226518662,,,ST MALACHY SCHOOL,ST MALACHY SCHOOL,1415 N 11TH ST,19122,(215) 232-0696,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.0867590072993,40.0317116603548,21,226518752,,,ST MARTIN OF TOURS SCHOOL,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,(215) 533-3050,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.992932196987,40.0599100131872,22,226518332,,,ST KATHERINE SIENA SCHOOL,ST KATHERINE SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,(215) 637-2181,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.2095231140398,39.9639141159855,23,226518062,,,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,632-44 N 43RD ST,19104,(215) 222-3626,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-74.9878482048175,40.0807023824213,24,126515001,,8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,"LA BRUM, GENERAL J. HARRY",10800 HAWLEY ST.,19154,(215) 400-3122,O,MIDDLE SCHOOL,6-8,,1,DISTRICT
-75.2270123926421,39.9219763260105,25,226516452,,,ST BARNABAS CATHOLIC SCHOOL,ST. BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,(215) 729-3603,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1937063110972,39.9352689899382,26,226517702,,,ST GABRIEL SCHOOL,ST GABRIEL SCHOOL,1432 S  29TH ST,19146,(215) 468-7230,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0155766690051,40.04690457217,27,226517302,,,ST DOMINIC SCHOOL,ST DOMINIC SCHOOL,8500 FRANKFORD AVE,19136,(215) 333-6703,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.2154946674252,39.9477760657548,28,226517552,,,ST FRANCIS DESALES SCHOOL,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,(215) 387-1749,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.16292789656,39.9273915280251,29,226518692,,,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,(215) 465-8437,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.0343240914636,40.0313555515891,30,226518002,,,ST HUBERTS CATHOLIC HIGH SCHOOL,ST HUBERTS CATHOLIC HIGH SCHOOL,7320 TORRESDALE AVE,19136,(215) 624-6840,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1267938941637,39.9898944207634,31,226519752,,,VISITATION SCHOOL,VISITATION SCHOOL,300-40 E LEHIGH AVE,19125,(215) 634-7280,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.2116955957269,39.9572541565741,32,226519902,,,WEST CATHOLIC PREPARATORY HIGH SCHOOL,WEST PHILADELPHIA CATHOLIC HIGH SCHOOL,4501-17 CHESTNUT ST,19139,(215) 386-2244,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1746922698452,39.930402025072,33,226519382,,,ST THOMAS AQUINAS SCHOOL,ST THOMAS AQUINAS SCHOOL,1616 S  17TH ST,19145,(215) 334-0878,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1671178291817,40.0719914409471,34,226519222,,,ST RAYMOND OF PENAFORT SCHOOL,ST RAYMOND SCHOOL,1330 VERNON RD,19150,(215) 548-1919,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0604271292593,40.0307935155365,35,226519422,,,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3001 LEVICK ST,19149,(215) 338-9797,O,ELEMENTARY/MIDDLE,1-8,,3,ARCHDIOCESE
-75.1448766839455,39.9695944753092,36,226519142,,,ST PETER THE APOSTLE SCHOOL,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,(215) 922-5958,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0499678868547,40.0414413494622,37,226518932,,,ST MATTHEW SCHOOL,ST MATTHEW SCHOOL,3000 COTTMAN AVE,19149,(215) 333-3142,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1296562928086,39.9767768585942,38,226518422,,,ST LAURENTIUS SCHOOL,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,(215) 423-8834,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-75.2491359095265,39.9695120054944,39,226517352,,,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,ST FRANCES CABRINI,405 N 65TH ST,19151,(215) 748-2994,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1782862472035,39.9135616217129,40,226519242,,,ST PIO REGIONAL CATHOLIC SCHOOL,ST PIO CATHOLIC REGIONAL SCHOOL,1826 POLLOCK ST,19145,(215) 467-5430,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0665327640685,40.0350321062755,41,300518675,,,"SYLVAN LEARNING CENTER
",SYLVAN LEARNING CENTER,6537 ROOSEVELT BLVD,19149,(215) 743-6200,O,TUTORING,UNGRADED,,3,PRIVATE
-74.9772722632729,40.0926606861343,42,300513270,,,DELTA SCHOOL,DELTA SCHOOL,3515 WOODHAVEN RD,19154,(215) 637-8235,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-75.2148630772767,40.0805084250001,43,226514502,,,NORWOOD FONTBONNE ACADEMY,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,(215) 247-3811,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.208283252234,40.0621619874661,44,226511002,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,(215) 247-4700,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.212832282802,40.0608212756678,45,226515802,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,8000 CHEROKEE ST,19118,(215) 247-7200,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.2055509793296,39.9707322443329,46,126513070,7557,3308,BELMONT ACADEMY CHARTER SCHOOL,BELMONT ACADEMY CHARTER SCHOOL,907 N 41ST ST,19104,(215) 396-5768,O,ELEMENTARY SCHOOL,PREK-K,,2,CHARTER
-75.0171157012663,40.1048749663119,47,,,3322,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),PHILADELPHIA ACADEMY CHARTER SCHOOL,1700 TOMLINSON RD,19116,(215) 673-3990,O,HIGH SCHOOL,9-12,,2,CHARTER
-75.1613770301658,39.978688461377,48,,,3374,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1630-32 N 16TH ST,19121,(215) 232-4892,O,ELEMENTARY SCHOOL,4-8,,2,CHARTER
-75.0922342808153,40.0494502046096,49,226510912,,,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,600 HELLERMAN ST,19111,(215) 725-3383,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1481419995917,39.9426797313601,50,226519162,,,ST PETERS SCHOOL,ST PETERS SCHOOL,311-21 LOMBARD ST,19147,(215) 925-3963,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1052292209137,40.0363203772118,51,226519672,,,TIMOTHY ACADEMY,TIMOTHY ACADEMY,5500 TABOR AVE,19120,(215) 425-8886,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1648963914339,39.97315271672,52,226518302,,,ST JOSEPH'S PREPARATORY SCHOOL,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,(215) 978-1950,O,HIGH SCHOOL,9-12,,3,PRIVATE
-75.2137236571777,39.9487429768827,53,226515682,,,FAITH CONNECTION CHRISTIAN ACADEMY,FAITH CONNECTION CHRISTIAN ACADEMY,4524 BALTIMORE AVE,19143,(215) 592-0974,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-75.0470018652508,40.1071188919237,54,326510160,,,RED LION ELEMENTARY SCHOOL,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,(215) 464-8623 ,O,ELEMENTARY SCHOOL,K-5,,3,PRIVATE
-74.9868704023892,40.1047005072212,55,300519545,,,MERAKEY AUTISM CENTER- PHILADELPHIA,MERAKEY AUTISM CENTER- PHILADELPHIA,2900 SOUTHAMPTON RD,19154,(215) 671-5155,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-74.9856698002481,40.0600034503616,56,226510232,,,ALPHA HOUSE NURSERY & KINDERGARTEN,ALPHA HOUSE NURSERY & KINDERGARTEN,9801 FRANKFORD AVE,19114,(215) 632-3366,O,KINDERGARTEN,PREK-K,,3,PRIVATE
-74.9934276158629,40.0580755113245,57,226510026,,,ALL SAINTS EPISCOPAL SCHOOL,ALL SAINTS EPISCOPAL SCHOOL,9571 FRANKFORD AVE,19114,(215) 637-8788,O,KINDERGARTEN,PREK-K,,3,PRIVATE
-75.0940076739299,40.016696251261,58,300512140,,,BRIDGE SCHOOL,BRIDGE SCHOOL,1100 ADAMS AVE,19124,(215) 342-5000,O,VO-TECH,VO-TECH,,3,PRIVATE
-75.2113542945407,39.9554768511563,59,226512762,,,ISLAMIC EDUCATION SCHOOL,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,(215) 387-8888,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.2433344111897,39.9605526343758,60,226512872,,,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,100-04 S 61ST ST,19139,(215) 474-1484,O,ELEMENTARY SCHOOL,PREK-4,,3,PRIVATE
-75.2524340518903,39.9719537197362,61,226510011,,,SHEPHERDS CHRISTIAN ACADEMY,SHEPHERDS CHRISTIAN ACADEMY,6634-42 HAVERFORD AVE,19151,(215) 476-4101,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
-75.2185214320452,39.9375247953719,62,226512962,,,LITTLE FOOTSTEPS ISLAM INSTITUTE,LITTLE FOOTSTEPS ISLAM INSTITUTE,5314 YOCUM ST,19143,(267) 236-8559,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1859261343667,40.0227001467963,63,226515412,,,WILLIAM PENN CHARTER SCHOOL,WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,19144,(215) 844-3460,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.22238305951,39.9544048857297,64,226510695,,,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,5001 SPRUCE ST,19139,(215) 747-3347,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.0871964258082,40.0153504025372,65,226511622,,,FRANKFORD FRIENDS SCHOOL,FRANKFORD FRIENDS SCHOOL,1500 ORTHODOX ST,19124,(215) 533-5368,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1835685119351,40.0490596708671,66,226515532,,,PROJECT LEARN,PROJECT LEARN,6519-25 GERMANTOWN AVE,19119,(215) 438-3623,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1721218692185,40.0426968743007,67,226512992,,,LOTUS ACADEMY,LOTUS ACADEMY,334 E HAINES ST,19144,(215) 438-7500,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1817422608745,39.9101222081147,68,226510722,,,CALVARY TEMPLE CHRISTIAN ACADEMY,CALVARY TEMPLE CHRISTIAN ACADEMY,3301 S  20TH  ST,19145,(215) 462-2822,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.186789567799,39.9405988885602,69,226511235,,,CROOKED PLACES MADE STRAIGHT,CROOKED PLACES MADE STRAIGHT,2617 WASHINGTON AVE,19146,(215) 339-5007,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-75.1496123142232,39.9460512201418,70,226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-74.9850490673165,40.0875779879744,71,226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11301 ACADEMY RD,19154,(215) 632-0320,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0389922012731,40.0819229624843,72,226514052,,,MATERNITY BVM SCHOOL,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,(215) 673-0235,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9782966562491,40.0793024160416,73,226514852,,,OUR LADY OF CALVARY SCHOOL,OUR LADY OF CALVARY SCHOOL,11026 KNIGHTS RD,19154,(215) 637-1648,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.995300520648,40.0752823140992,74,226511102,,,CHRIST THE KING SCHOOL,CHRIST THE KING SCHOOL,3201 CHESTERFIELD RD,19114,(215) 632-1375,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1590713674662,39.9422351863346,75,300511820,,,BEGINNINGS LEARNING CENTER,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,(215) 627-3668,O,PRE-SCHOOL,PREK-K,,3,PRIVATE
-75.2082188021773,39.9488189675549,76,226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,O,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE
-75.2179484763673,39.9617355757949,77,226514112,,,MILL CREEK SCHOOL,MILL CREEK SCHOOL,111 N 49TH ST,19139,(215) 471-4900 ,O,HIGH SCHOOL,7-12,,3,PRIVATE
-75.247439240626,39.9878413642374,78,226510052,,,IJOBA SHULE,IJOBA SHULE,6026 DREXEL RD,19131,(215) 747-5737,O,ELEMENTARY/MIDDLE,PREK-7,,3,PRIVATE
-75.0564307987723,40.043775544505,79,226515662,,,NORTHEAST CENTRAL CHRISTIAN SCHOOL,NORTHEAST CENTRAL CHRISTIAN SCHOOL,7200-50 E ROOSEVELT BLV,19149,(215) 624-8046,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
-75.0784588275082,40.0403856388477,80,226510068,,,CRYSTAL RIVER ACADEMY,CRYSTAL RIVER ACADEMY,6401 LORETTO AVE,19111,(215) 744-3757,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.101378450721,40.0121160135202,81,226512252,,,HOLY INNOCENTS SCHOOL,HOLY INNOCENTS SCHOOL,1312 E  BRISTOL ST,19124,(215) 743-5909,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1016257195871,40.0112199977284,82,226518542,,,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,1301 E HUNTING PARK AVE,19124,(215) 289-4220,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1563401508609,40.006952641237,83,226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,O,ELEMENTARY/MIDDLE,1-8,,3,PRIVATE
-75.1578452065798,40.0025120945378,84,300518830,,,THANKFUL LEARNING CENTER INC,THANKFUL LEARNING CENTER INC,3200-02 N 17TH ST,19140,(215) 226-5544,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
-75.1677433190404,39.9727268103772,85,226510063,,,EDUCATION IS THE KEY LEARNING CENTER,EDUCATION IS THE KEY LEARNING CENTER,1901 W GIRARD AVE,19142,(267) 312-0538,O,ELEMENTARY/MIDDLE,PREK-7,,3,PRIVATE
-75.1449084206822,40.0400171762783,86,226510070,,,TARBIYATUL ILM ACADEMY INC.,TARBIYATUL ILM ACADEMY INC.,5700 N BROAD ST,19141,(215) 288-4600,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1632716353416,40.0417409275454,87,226510031,,,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,629 E CHURCH LANE,19144,(215) 848-1800,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
-75.1824844048213,40.0042584778552,88,226510073,,,ST JAMES SCHOOL,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,O,MIDDLE SCHOOL,5-8,,3,PRIVATE
-75.1860929984701,40.0016639565571,89,300515320,,,PRODIGY LEARNING CENTERS,PRODIGY LEARNING CENTERS,3345 W HUNTING PARK AVE,19132,(215) 228-7678,O,ELEMENTARY SCHOOL,PREK-K,,3,PRIVATE
-75.149213667455,40.0521002376697,90,226514262,,,MT AIRY CHRISTIAN DAY SCHOOL,MT AIRY CHRISTIAN DAY SCHOOL,6401 OGONTZ AVE,19126,(215) 276-2990,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
-75.155853430925,40.0476815439461,91,226511712,,,ADELAIDE EDUCATIONAL ACADEMY CENTER,ADELAIDE EDUCATIONAL ACADEMY CENTER,6100 N 21ST ST,19138,(215) 844-5000,O,ELEMENTARY SCHOOL,PREK-7,,3,PRIVATE
-75.1399213514914,40.0410168587033,92,226515695,,,SAINTS TABERNACLE DAY SCHOOL,SAINTS TABERNACLE DAY SCHOOL,5800 N MARVINE ST,19141,(215) 548-6011,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1450546195989,40.0286502671423,93,226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1523359999574,39.9502520000276,94,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,(215) 400-7850,,HIGH SCHOOL,9-12,381,1,DISTRICT
-75.1148200223767,39.9944190479345,95,126515001,6525,5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1849 E CLEARFIELD ST,19134,(215) 400-7210,,MIDDLE SCHOOL,5-8,328,1,DISTRICT
-75.1460740001465,40.0255260001875,96,126515001,7239,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDEN ST,19141,(215) 400-8330,,ELEMENTARY/MIDDLE,K-8,427,1,DISTRICT
-75.2068019997144,40.0224720000888,97,126515001,5122,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,,ELEMENTARY/MIDDLE,K-8,462,1,DISTRICT
-75.1299362503674,40.0026291206135,98,126515001,5123,5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,3449 N MASCHER ST,19140,(215) 400-3860,,ELEMENTARY SCHOOL,K-5,479,1,DISTRICT
-75.1654837502338,39.9394199201992,99,126515001,6996,2020,CREATIVE AND PERFORMING ARTS,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,901 S BROAD ST,19147,(215) 400-8140,,HIGH SCHOOL,9-12,736,1,DISTRICT
-75.0813314616159,40.0621902887023,100,126515001,3762,8230,"CROSSAN, KENNEDY C. SCHOOL",KENNEDY C. CROSSAN SCHOOL,7350 BINGHAM ST,19111,(215) 400-3160,,ELEMENTARY SCHOOL,K-5,328,1,DISTRICT
-75.1683346406611,40.0584068204189,101,126515001,3706,6200,"DAY, ANNA B. SCHOOL",ANNA B. DAY SCHOOL,6324 CRITTENDEN ST,19138,(215) 400-3520,,ELEMENTARY/MIDDLE,K-8,433,1,DISTRICT
-75.1386274300872,39.9927516402774,102,126515001,7175,5170,"DEBURGOS, J. ELEMENTARY",JULIA DE BURGOS SCHOOL,401 W LEHIGH AVE,19133,(215) 400-7080,,ELEMENTARY/MIDDLE,K-8,830,1,DISTRICT
-74.9705349994652,40.0958180004133,103,126515001,4727,8420,"DECATUR, STEPHEN SCHOOL",STEPHEN DECATUR SCHOOL,3500 ACADEMY RD,19154,(215) 400-3050,,ELEMENTARY/MIDDLE,K-8,979,1,DISTRICT
-75.1737870003521,39.9867299995588,104,126515001,3786,4270,"DICK, WILLIAM SCHOOL",WILLIAM DICK SCHOOL,2498 W DIAMOND ST,19121,(215) 400-7340,,ELEMENTARY/MIDDLE,K-8,465,1,DISTRICT
-75.0465890400023,40.0283691102385,105,126515001,3763,8240,"DISSTON, HAMILTON SCHOOL",HAMILTON DISSTON SCHOOL,6801 COTTAGE ST,19135,(215) 400-3350,,ELEMENTARY/MIDDLE,K-8,834,1,DISTRICT
-75.1668959217613,39.9951425235826,106,126515001,3841,4060,"DOBBINS, MURRELL HIGH SCHOOL",MURRELL DOBBINS CAREER AND TECHNICAL HIGH SCHOOL,2150 W LEHIGH AVE,19132,(215) 400-7050,,HIGH SCHOOL,9-12,797,1,DISTRICT
-75.2306716306961,40.0314753595495,107,126515001,3726,6450,"DOBSON, JAMES SCHOOL",JAMES DOBSON SCHOOL,4667 UMBRIA ST,19127,(215) 400-3570,,ELEMENTARY/MIDDLE,K-8,249,1,DISTRICT
